Photinus indictus (NCC Ent 9),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width dis,F4,mechano,NA,0.5,blue 3C,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width med,F4,olfactory,trichoid,2.056,red 1,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width med,F4,olfactory,basiconica,1.944,red 2,
NCC Ent 9,Photinus indictus,Photinus_indictis_f4_W.tif,sensillum width med,F4,olfactory,basiconica,2.018,red 3,
NCC Ent 9,Photinus indictus,Photinus_indictis_antennae.tif,segment length,F5,NA,NA,198.882,,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,mechano,NA,21.09,cyan 1,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,mechano,NA,64.727,cyan 2,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,mechano,NA,67.994,cyan 3,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,mechano,NA,51.953,cyan 4,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,mechano,NA,65.722,cyan 5,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,olfactory,basiconica,11.355,magenta 1,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,olfactory,basiconica,9.748,magenta 2,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,olfactory,basiconica,11.748,magenta 3,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,olfactory,basiconica,11.953,magenta 4,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_L.tif,sensillum length,F5,olfactory,basiconica,9.982,magenta 5,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width prox,F5,mechano,NA,2.967,cyan 1A,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width med,F5,mechano,NA,1.736,cyan 1B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width dis,F5,mechano,NA,1.089,cyan 1C,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width prox,F5,mechano,NA,2.758,cyan 2A,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width med,F5,mechano,NA,1.887,cyan 2B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width dis,F5,mechano,NA,1.595,cyan 2C,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width prox,F5,mechano,NA,2.844,cyan 3A,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width med,F5,mechano,NA,1.483,cyan 3B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width dis,F5,mechano,NA,0.511,cyan 3C,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width med,F5,olfactory,basiconica,2.08,magenta 1B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width med,F5,olfactory,basiconica,2.087,magenta 2B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f5_W.tif,sensillum width med,F5,olfactory,basiconica,1.963,magenta 3B,
NCC Ent 9,Photinus indictus,Photinus_indictis_antennae.tif,segment length,F6,NA,NA,184.594,,
NCC Ent 9,Photinus indictus,Photinus_indictus_f6_L.tif,sensillum length,F6,mechano,NA,75.372,cyan 1,
NCC Ent 9,Photinus indictus,Photinus_indictus_f6_L.tif,sensillum length,F6,mechano,NA,47.851,cyan 2,
NCC Ent 9,Photinus indictus,Photinus_indictus_f6_L.tif,sensillum length,F6,mechano,NA,52.265,cyan 3,
NCC Ent 9,Photinus indictus,Photinus_indictus_f6_L.tif,sensillum length,F6,mechano,NA,56.547,cyan 4,
