Pyractomena borealis (LACM Ent 574186),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,mechano,NA,1.949,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width dis,F4,mechano,NA,0.988,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width prox,F4,mechano,NA,3.794,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,mechano,NA,2.394,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width dis,F4,mechano,NA,0.775,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width prox,F4,mechano,NA,3.64,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,mechano,NA,1.414,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width dis,F4,mechano,NA,0.487,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,olfactory,trichoid,1.632,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,olfactory,trichoid,1.816,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F4W.tif,sensillum width med,F4,olfactory,trichoid,2.194,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5.tif,segment length,F5,NA,NA,289.081,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,mechano,NA,56.847,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,mechano,NA,63.383,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F5L.tif,sensillum length,F5,mechano,NA,60.168,3 green,
