"specimen","species","signal","sex","body_length","location","sensillum_type","olfactory_type","mean_dists","density","fraction","counts"
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F3","olfactory","capitular",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F3","olfactory",NA,42.4060149975333,0.00108538726158422,0.492753623188406,34
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F3","all",NA,29.2606548536194,0.00220269767792093,1,69
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F4","mechano",NA,31.3781032833739,0.00185146115454757,0.571428571428571,16
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F4","hygro-thermo",NA,NA,NA,NA,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F4","olfactory","trichoid",52.4465640068216,0.000462865288636893,1,4
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F4","olfactory","basiconica",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F4","olfactory","capitular",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F4","olfactory",NA,39.1942360429627,0.00138859586591068,0.428571428571429,4
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F4","all",NA,25.1693328263192,0.00324005702045825,1,28
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F5","mechano",NA,38.2632091810938,0.00130274775918064,0.421052631578947,8
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F5","hygro-thermo",NA,NA,NA,NA,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F5","olfactory","trichoid",47.2877068201314,0.000977060819385478,0.6,6
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F5","olfactory","basiconica",39.9122133908057,0.000651373879590318,0.4,4
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F5","olfactory","capitular",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F5","olfactory",NA,34.8930179228818,0.00179127816887338,0.578947368421053,10
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F5","all",NA,26.7181037845373,0.00309402592805401,1,19
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F6","mechano",NA,43.5833957744261,0.00100487932096686,0.488888888888889,22
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F6","hygro-thermo",NA,NA,NA,NA,0
