Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,80,18.71,26,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,111.613,47.097,27,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,101.72,81.935,28,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,86.021,105.591,29,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,104.516,124.301,30,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,76.989,140.645,31,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,136.344,132.688,32,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,148.602,110.968,33,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,149.247,84.516,34,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,132.688,103.011,35,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,133.333,48.817,36,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,157.204,36.559,37,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,173.763,59.355,38,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,188.387,106.021,39,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,160,11.398,40,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,NA,143.226,3.226,41,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,NA,132.043,3.871,42,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,basiconica,216.774,53.978,43,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,32.043,70.107,44,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,115.914,20.43,45,pink,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,olfactory,trichoid,4.516,100.215,46,pink,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,63.267,6.595,1,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,91.359,8.794,2,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,119.939,14.901,3,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,93.802,39.084,4,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,70.351,46.901,5,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,49.344,70.107,6,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,23.695,56.427,7,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,18.076,76.214,8,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,6.107,113.832,9,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,13.924,152.916,10,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,36.153,111.389,11,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,40.55,29.557,12,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,30.29,4.885,13,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,73.771,92.824,14,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,44.947,151.695,15,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,87.45,137.527,16,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,101.13,113.832,17,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,114.565,72.305,18,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,130.198,94.046,19,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,152.916,39.084,20,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,134.107,26.87,21,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,170.26,47.634,22,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,161.71,94.046,23,yellow,,,,,,,,,,,,,,,,,,
l punctata f5L-xy.tif,LACM Ent 574191,Lucidota punctata,F5,mechano,NA,146.076,144.855,24,yellow,,,,,,,,,,,,,,,,,,
