Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,olfactory,trichoid,422.259,201.864,3,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,olfactory,trichoid,388.487,217.215,4,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,olfactory,trichoid,314.145,263.267,5,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F3.tif,LACM Ent 574187,Pyractomena angulata,F3,olfactory,trichoid,290.46,119.846,6,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,393,209.5,1,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,415,231.5,2,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,526.5,194.5,3,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,513,248,4,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,547,274,5,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,589,260.5,6,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,617.5,250,7,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,622.5,298,8,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,395,283.5,9,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,430.5,296,10,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,474,284.5,11,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,563.5,310,12,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,587,349,13,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,370.5,327.5,14,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,403.5,361,15,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,460,361,16,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,502.5,363.5,17,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,543.5,368.5,18,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,598,389,19,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,542,411.5,20,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,499,425,21,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,mechano,NA,568.5,433,22,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,olfactory,trichoid,483.5,141,1,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,olfactory,trichoid,669,232,2,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,olfactory,trichoid,654.5,280.5,3,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,olfactory,trichoid,349,178.5,4,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,olfactory,trichoid,490.5,307.5,5,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F4.tif,LACM Ent 574187,Pyractomena angulata,F4,olfactory,trichoid,708,287,6,pink,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574187,Pyractomena angulata,F5,NA,NA,NA,NA,NA,image unclear (sputter coating issue?),,,,,,,,,,,,,,,,,,
NA,LACM Ent 574187,Pyractomena angulata,F6,NA,NA,NA,NA,NA,sensilla all broken off at the base,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,mechano,NA,387,516.5,7,yellow most sensilla were broken off and these are off to the side,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,mechano,NA,363.5,517.5,8,yellow,,,,,,,,,,,,,,,,,,
