Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,294.313,219.574,15,15 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,309.168,254.854,16,16 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,307.311,173.617,17,17 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,293.849,73.346,18,18 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,306.382,22.747,19,19 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,315.667,98.878,20,20 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,227.93,278.065,21,21 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,178.723,262.746,22,22 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,245.57,102.127,23,23 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,213.539,152.727,24,24 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,161.083,188.007,25,25 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,283.636,23.211,26,26 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,mechano,NA,158.298,223.752,27,27 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,trichoid,229.787,162.476,1,1 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,trichoid,246.499,164.797,2,2 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,NA,259.497,131.373,3,3 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,trichoid,272.959,119.303,4,4 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,trichoid,223.752,134.623,5,5 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,trichoid,196.827,143.443,6,6 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,trichoid,212.611,115.59,7,7 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,basiconica,202.398,102.127,8,8 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,trichoid,189.864,171.296,9,9 (pink),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F2L_xy.tif,LACM Ent 574184,Pyropyga nigricans,F2,olfactory,trichoid,188.472,228.394,10,10 (pink),,,,,,,,,,,,,,,,,,
